net,length_um
clknet_0_clk,136.48µm
net66,134.1µm
net37,124.08µm
net39,123.99µm
net40,112.43µm
clknet_3_5__leaf_clk,112.22µm
net61,111.78µm
clknet_3_0__leaf_clk,111.24µm
clknet_3_2__leaf_clk,110.08µm
net34,105.38µm
net59,105.31µm
clknet_3_7__leaf_clk,104.06µm
net52,103.78µm
clk,102.37µm
net67,99.56µm
net47,99.305µm
net36,98.69µm
net46,98.32µm
clknet_3_6__leaf_clk,98.18µm
net42,95.58µm
net63,94.4µm
clknet_3_1__leaf_clk,92.74µm
net44,90.88µm
b_high\[0\],90.75µm
net50,89.96µm
net62,89.38µm
net48,88.535µm
net65,85.82µm
net64,85.59µm
net57,79.79µm
a_high\[0\],75.89µm
net60,74.78µm
net17,71.3µm
net58,71.09µm
net55,64.1µm
b_low\[0\],62.62µm
clknet_3_3__leaf_clk,60.34µm
clknet_3_4__leaf_clk,59.72µm
b_low\[1\],58.48µm
net53,56.41µm
a_low\[1\],54.88µm
b_low\[3\],53.59µm
b_high\[2\],50.94µm
net45,50.355µm
net56,49.15µm
a_low\[0\],43.46µm
net38,42.22µm
net51,40.68µm
net49,38.035µm
_031_,35.8µm
b_low\[2\],34.8µm
a_high\[3\],34.62µm
net43,33.42µm
_035_,32.38µm
net35,31.61µm
_222_,31.145µm
_127_,31.06µm
a_high\[2\],28.48µm
pp1\[5\],28.44µm
net54,28.01µm
_013_,27.82µm
_236_,27.71µm
_047_,27.68µm
net41,26.94µm
_276_,26.32µm
a_high\[1\],25.94µm
_150_,25.16µm
_307_,24.68µm
b_high\[3\],24.6µm
pp3\[6\],24.06µm
_014_,23.42µm
a_low\[2\],23.38µm
_364_,23.04µm
a_low\[3\],22.68µm
_015_,22.445µm
_051_,22.24µm
_190_,21.88µm
b_high\[1\],21.62µm
_289_,21.48µm
_049_,21.4µm
_217_,19.98µm
_008_,19.8µm
_244_,19.4µm
pp2\[6\],19.34µm
_042_,19.04µm
_329_,18.49µm
_238_,18.48µm
_181_,18.46µm
pp1\[6\],18.36µm
_235_,18.12µm
_233_,17.84µm
_221_,17.8µm
_319_,17.78µm
_196_,17.6µm
_356_,17.52µm
pp3\[4\],17.4µm
_158_,17.3µm
_011_,17.06µm
_012_,16.96µm
net74,16.72µm
_125_,16.58µm
_316_,16.24µm
pp0\[4\],16.22µm
_141_,16.02µm
_161_,15.78µm
_129_,15.64µm
_131_,15.26µm
_333_,15.18µm
_258_,15.135µm
_230_,15µm
_185_,14.98µm
_362_,14.9µm
_310_,14.8µm
_234_,14.62µm
_229_,14.5µm
_284_,14.42µm
_225_,14.3µm
_338_,14.18µm
_023_,13.66µm
_152_,13.625µm
_188_,13.57µm
_183_,13.32µm
_314_,13.14µm
_195_,12.96µm
pp2\[1\],12.96µm
pp2\[0\],12.71µm
a[0],12.7µm
middle_sum\[0\],12.54µm
_348_,12.46µm
_301_,12.38µm
a[7],12.36µm
b[6],12.36µm
b[7],12.36µm
pp1\[0\],12.36µm
_211_,12.18µm
product[8],12.15µm
_208_,12.14µm
_175_,12.04µm
_177_,12.02µm
_143_,11.96µm
_142_,11.88µm
_201_,11.88µm
_295_,11.84µm
_367_,11.78µm
_168_,11.76µm
_148_,11.74µm
_347_,11.74µm
_345_,11.68µm
product[15],11.68µm
_037_,11.48µm
_315_,11.42µm
_039_,11.38µm
product[14],11.22µm
_166_,11.2µm
_369_,11.18µm
_007_,11.02µm
a[1],11.02µm
_237_,11µm
_290_,10.98µm
_357_,10.96µm
pp2\[5\],10.92µm
pp0\[5\],10.88µm
_220_,10.74µm
_022_,10.58µm
_202_,10.54µm
_174_,10.52µm
_249_,10.52µm
_255_,10.5µm
_352_,10.5µm
pp0\[6\],10.5µm
_355_,10.48µm
_134_,10.4µm
_205_,10.4µm
_262_,10.24µm
_139_,10.22µm
_339_,10.14µm
_343_,10.04µm
_048_,10.02µm
_040_,9.98µm
_266_,9.9µm
_006_,9.86µm
_189_,9.82µm
_377_,9.82µm
_155_,9.78µm
_373_,9.78µm
_330_,9.7µm
middle_sum\[6\],9.62µm
a[4],9.61µm
pp1\[2\],9.46µm
_317_,9.4µm
_240_,9.3µm
_147_,9.26µm
_178_,9.24µm
_341_,9.08µm
middle_sum\[2\],9.02µm
_337_,9µm
_288_,8.98µm
product[0],8.96µm
product[1],8.96µm
product[2],8.96µm
_005_,8.92µm
_239_,8.915µm
pp3\[2\],8.9µm
_156_,8.8µm
middle_sum\[5\],8.8µm
_342_,8.785µm
_353_,8.78µm
_016_,8.72µm
b[0],8.72µm
_285_,8.68µm
pp1\[3\],8.66µm
net32,8.6µm
_226_,8.58µm
_264_,8.58µm
net2,8.54µm
product[4],8.53µm
product[3],8.5µm
_318_,8.48µm
_274_,8.44µm
_153_,8.36µm
_182_,8.29µm
_149_,8.24µm
_256_,8.2µm
_019_,8.18µm
_200_,8.14µm
_270_,8.1µm
_346_,8.1µm
pp3\[5\],8µm
product[10],7.91µm
_160_,7.9µm
_228_,7.78µm
pp2\[4\],7.78µm
pp2\[3\],7.74µm
_248_,7.695µm
_224_,7.66µm
_126_,7.64µm
_306_,7.64µm
a[5],7.59µm
_206_,7.58µm
_133_,7.56µm
_167_,7.52µm
_173_,7.5µm
_283_,7.48µm
_371_,7.44µm
_251_,7.42µm
net8,7.3µm
_021_,7.24µm
_045_,7.24µm
net4,7.24µm
b[3],7.23µm
_171_,7.2µm
pp1\[4\],7.18µm
_041_,7.14µm
pp3\[3\],7.12µm
_184_,7.1µm
_241_,7.1µm
_207_,7.08µm
a[6],6.99µm
_044_,6.98µm
_132_,6.98µm
_159_,6.98µm
_203_,6.98µm
_332_,6.98µm
_304_,6.88µm
_219_,6.86µm
_050_,6.78µm
_359_,6.78µm
pp2\[7\],6.78µm
_002_,6.76µm
_335_,6.76µm
_227_,6.74µm
_299_,6.725µm
_024_,6.72µm
_136_,6.72µm
_145_,6.72µm
_001_,6.525µm
_128_,6.52µm
_326_,6.52µm
_344_,6.52µm
_322_,6.5µm
pp3\[1\],6.5µm
_268_,6.4µm
_294_,6.4µm
_098_,6.38µm
net70,6.38µm
_305_,6.32µm
pp1\[1\],6.32µm
_154_,6.3µm
_164_,6.3µm
_259_,6.26µm
_354_,6.22µm
product[5],6.21µm
product[6],6.21µm
product[7],6.21µm
_254_,6.2µm
_194_,6.18µm
pp2\[2\],6.18µm
net28,6.06µm
b[2],5.97µm
_030_,5.96µm
_360_,5.945µm
_186_,5.94µm
_375_,5.94µm
_087_,5.91µm
b[5],5.87µm
_215_,5.86µm
net14,5.86µm
_028_,5.84µm
_252_,5.82µm
middle_sum\[7\],5.82µm
_245_,5.8µm
_250_,5.8µm
_271_,5.74µm
pp0\[0\],5.74µm
_361_,5.72µm
_350_,5.7µm
_324_,5.68µm
b[1],5.63µm
_165_,5.62µm
_272_,5.62µm
_320_,5.62µm
_298_,5.6µm
net5,5.56µm
a[2],5.53µm
product[12],5.53µm
product[9],5.53µm
_286_,5.52µm
_218_,5.48µm
_292_,5.48µm
_308_,5.48µm
_378_,5.48µm
_034_,5.4µm
_043_,5.4µm
_138_,5.4µm
_135_,5.38µm
_312_,5.38µm
_334_,5.38µm
middle_sum\[4\],5.38µm
_260_,5.36µm
_075_,5.33µm
_223_,5.26µm
_275_,5.22µm
_327_,5.215µm
product[13],5.19µm
_214_,5.14µm
pp3\[0\],5.14µm
_204_,5.12µm
_157_,5.06µm
_029_,5.04µm
_170_,5.02µm
_267_,5.02µm
_282_,5.02µm
b[4],4.95µm
_197_,4.92µm
_321_,4.92µm
_376_,4.92µm
_242_,4.9µm
_247_,4.9µm
product[11],4.85µm
_033_,4.82µm
_003_,4.8µm
_078_,4.76µm
net23,4.76µm
net29,4.76µm
net33,4.76µm
_117_,4.68µm
_263_,4.68µm
_105_,4.61µm
a[3],4.61µm
net68,4.58µm
pp0\[7\],4.56µm
net15,4.54µm
_074_,4.53µm
_017_,4.48µm
_020_,4.48µm
_231_,4.48µm
_027_,4.46µm
_216_,4.46µm
_280_,4.46µm
net9,4.46µm
_278_,4.42µm
_140_,4.36µm
_192_,4.34µm
_162_,4.14µm
_293_,4.14µm
_036_,4.12µm
net69,4.12µm
_009_,4.1µm
_279_,4.1µm
_281_,4.1µm
middle_sum\[1\],4.1µm
_004_,4.045µm
_253_,4.02µm
_261_,4µm
_368_,3.98µm
rst,3.93µm
_243_,3.9µm
_198_,3.885µm
_209_,3.88µm
_257_,3.88µm
_287_,3.88µm
_365_,3.88µm
net26,3.88µm
_082_,3.76µm
_213_,3.76µm
middle_sum\[3\],3.76µm
_106_,3.69µm
_025_,3.685µm
_032_,3.68µm
_018_,3.66µm
_084_,3.59µm
_038_,3.585µm
_046_,3.54µm
_273_,3.54µm
pp3\[7\],3.44µm
_130_,3.42µm
_191_,3.42µm
_336_,3.42µm
_370_,3.42µm
_380_,3.32µm
_116_,3.3µm
_311_,3.3µm
_000_,3.22µm
_187_,3.22µm
_026_,3.2µm
_102_,3.13µm
_180_,3.1µm
_212_,3.1µm
_269_,3.1µm
_303_,3.1µm
_351_,3.1µm
net3,3.1µm
_199_,3.08µm
_323_,3.08µm
net1,3.08µm
_124_,2.96µm
_246_,2.96µm
_331_,2.96µm
net25,2.96µm
net73,2.96µm
_172_,2.86µm
_052_,2.84µm
_054_,2.84µm
_058_,2.84µm
_059_,2.84µm
_062_,2.84µm
_063_,2.84µm
_064_,2.84µm
_065_,2.84µm
_070_,2.84µm
_089_,2.84µm
_120_,2.84µm
_121_,2.84µm
_122_,2.84µm
net10,2.84µm
pp0\[3\],2.76µm
_325_,2.72µm
_072_,2.69µm
_081_,2.69µm
_086_,2.69µm
_100_,2.69µm
_107_,2.69µm
_265_,2.64µm
net13,2.64µm
_137_,2.62µm
_176_,2.62µm
_193_,2.62µm
_232_,2.62µm
_366_,2.62µm
pp1\[7\],2.62µm
net24,2.5µm
net72,2.5µm
_340_,2.4µm
_053_,2.38µm
_069_,2.38µm
_094_,2.38µm
_108_,2.38µm
_118_,2.38µm
_067_,2.23µm
_068_,2.23µm
_071_,2.23µm
_073_,2.23µm
_079_,2.23µm
_080_,2.23µm
_083_,2.23µm
_085_,2.23µm
_088_,2.23µm
_092_,2.23µm
_093_,2.23µm
_095_,2.23µm
_096_,2.23µm
_097_,2.23µm
_101_,2.23µm
_103_,2.23µm
_111_,2.23µm
_112_,2.23µm
_114_,2.23µm
_123_,2.23µm
_055_,2.21µm
_056_,2.21µm
_057_,2.21µm
_060_,2.21µm
_291_,2.18µm
_010_,2.16µm
_077_,2.16µm
_115_,2.16µm
_163_,2.16µm
_309_,2.16µm
_313_,2.16µm
_381_,2.16µm
net7,2.16µm
net16,2.16µm
_146_,2.06µm
_151_,2.06µm
_169_,2.04µm
_179_,2.04µm
_297_,2.04µm
_358_,2.04µm
_379_,2.04µm
net18,2.04µm
net19,2.04µm
net20,2.04µm
net21,2.04µm
net22,2.04µm
net27,2.04µm
net31,2.04µm
_210_,1.84µm
_363_,1.84µm
_374_,1.84µm
_061_,1.82µm
_066_,1.82µm
_076_,1.82µm
_090_,1.82µm
_104_,1.82µm
_110_,1.82µm
net11,1.82µm
net71,1.82µm
_109_,1.75µm
_277_,1.72µm
_300_,1.7µm
_302_,1.7µm
_328_,1.7µm
_349_,1.7µm
net30,1.7µm
pp0\[1\],1.6µm
net12,1.545µm
_296_,1.38µm
_091_,1.36µm
_099_,1.36µm
_113_,1.36µm
_119_,1.36µm
net6,1.36µm
_144_,1.26µm
_372_,1.26µm
pp0\[2\],0.92µm
